Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns)
0;600;10;0;6;8000000000;188220
1;600;10;0;6;8000000000;182673
2;600;10;0;6;8000000000;226402
3;600;10;0;6;8000000000;184869
4;600;10;0;6;8000000000;189356
5;600;10;0;6;8000000000;191122
6;600;10;0;6;8000000000;190352
7;600;10;0;6;8000000000;180248
8;600;10;0;6;8000000000;222857
9;600;10;0;6;8000000000;177641
10;600;10;0;6;8000000000;185926
11;600;10;0;6;8000000000;194072
12;600;10;0;6;8000000000;204836
13;600;10;0;6;8000000000;171965
14;600;10;0;6;8000000000;225590
15;600;10;0;6;8000000000;182058
16;600;10;0;6;8000000000;183678
17;600;10;0;6;8000000000;166351
18;600;10;0;6;8000000000;203383
19;600;10;0;6;8000000000;176821
20;600;10;0;6;8000000000;182467
21;600;10;0;6;8000000000;176083
22;600;10;0;6;8000000000;188267
23;600;10;0;6;8000000000;180634
24;600;10;0;6;8000000000;203293
25;600;10;0;6;8000000000;178071
26;600;10;0;6;8000000000;193932
27;600;10;0;6;8000000000;192247
28;600;10;0;6;8000000000;201992
29;600;10;0;6;8000000000;196775
30;600;10;0;6;8000000000;203044
31;600;10;0;6;8000000000;212951
32;600;10;0;6;8000000000;225614
33;600;10;0;6;8000000000;205929
34;600;10;0;6;8000000000;223919
35;600;10;0;6;8000000000;204207
36;600;10;0;6;8000000000;209629
37;600;10;0;6;8000000000;205119
38;600;10;0;6;8000000000;205387
39;600;10;0;6;8000000000;203658
40;600;10;0;6;8000000000;185792
41;600;10;0;6;8000000000;195646
42;600;10;0;6;8000000000;192118
43;600;10;0;6;8000000000;184289
44;600;10;0;6;8000000000;208545
45;600;10;0;6;8000000000;257394
46;600;10;0;6;8000000000;236206
47;600;10;0;6;8000000000;120112
48;600;10;0;6;8000000000;101187
49;600;10;0;6;8000000000;198642
