Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns)
0;10;10;0;0;0;165278
1;10;10;0;0;0;174717
2;10;10;0;0;0;195768
3;10;10;0;0;0;113434
4;10;10;0;0;0;83270
5;10;10;0;0;0;131935
6;10;10;0;0;0;105042
7;10;10;0;0;0;137195
8;10;10;0;0;0;182406
9;10;10;0;0;0;291228
10;10;10;0;0;0;384321
11;10;10;0;0;0;394846
12;10;10;0;0;0;397458
13;10;10;0;0;0;399955
14;10;10;0;0;0;384036
15;10;10;0;0;0;326017
16;10;10;0;0;0;203605
17;10;10;0;0;0;209078
18;10;10;0;0;0;315620
19;10;10;0;0;0;429677
20;10;10;0;0;0;388453
21;10;10;0;0;0;404242
22;10;10;0;0;0;387304
23;10;10;0;0;0;393453
24;10;10;0;0;0;385743
25;10;10;0;0;0;397968
26;10;10;0;0;0;381707
27;10;10;0;0;0;481793
28;10;10;0;0;0;428208
29;10;10;0;0;0;380749
30;10;10;0;0;0;387841
31;10;10;0;0;0;400595
32;10;10;0;0;0;386549
33;10;10;0;0;0;382104
34;10;10;0;0;0;401174
35;10;10;0;0;0;380713
36;10;10;0;0;0;392594
37;10;10;0;0;0;387351
38;10;10;0;0;0;405406
39;10;10;0;0;0;384535
40;10;10;0;0;0;397528
41;10;10;0;0;0;384091
42;10;10;0;0;0;393807
43;10;10;0;0;0;391099
44;10;10;0;0;0;406278
45;10;10;0;0;0;383166
46;10;10;0;0;0;390920
47;10;10;0;0;0;399014
48;10;10;0;0;0;392350
49;10;10;0;0;0;382581
