Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;650000;10;0;1;8000000000;27754511;1726133798042491483
1;650000;10;0;1;8000000000;4347336;1726133798067886000
2;650000;10;0;1;8000000000;2086830;1726133798072342823
3;650000;10;0;1;8000000000;2245629;1726133798082529968
4;650000;10;0;1;8000000000;2030257;1726133798092476056
5;650000;10;0;1;8000000000;1952960;1726133798102464825
6;650000;10;0;1;8000000000;1890442;1726133798112465452
7;650000;10;0;1;8000000000;1894453;1726133798122467708
8;650000;10;0;1;8000000000;1884787;1726133798132465975
9;650000;10;0;1;8000000000;1894013;1726133798142467664
10;650000;10;0;1;8000000000;1884635;1726133798152469224
11;650000;10;0;1;8000000000;1897210;1726133798162466495
12;650000;10;0;1;8000000000;1890915;1726133798172469474
13;650000;10;0;1;8000000000;1909909;1726133798182467945
14;650000;10;0;1;8000000000;1900517;1726133798192460902
15;650000;10;0;1;8000000000;1871201;1726133798202475537
16;650000;10;0;1;8000000000;1863534;1726133798212475608
17;650000;10;0;1;8000000000;1926655;1726133798222475366
18;650000;10;0;1;8000000000;1856184;1726133798232486034
19;650000;10;0;1;8000000000;1898484;1726133798242473207
20;650000;10;0;1;8000000000;1857967;1726133798252486999
21;650000;10;0;1;8000000000;1934225;1726133798262423152
22;650000;10;0;1;8000000000;1895932;1726133798272480484
23;650000;10;0;1;8000000000;1967712;1726133798282442131
24;650000;10;0;1;8000000000;1869665;1726133798292475934
25;650000;10;0;1;8000000000;1925209;1726133798302475045
26;650000;10;0;1;8000000000;1889848;1726133798312447997
27;650000;10;0;1;8000000000;1899013;1726133798322471162
28;650000;10;0;1;8000000000;1927340;1726133798332475139
29;650000;10;0;1;8000000000;1935684;1726133798342407770
30;650000;10;0;1;8000000000;1909831;1726133798352469000
31;650000;10;0;1;8000000000;1929154;1726133798362472556
32;650000;10;0;1;8000000000;1896727;1726133798372433627
33;650000;10;0;1;8000000000;1911981;1726133798382471775
34;650000;10;0;1;8000000000;1889261;1726133798392470496
35;650000;10;0;1;8000000000;1901882;1726133798402471832
36;650000;10;0;1;8000000000;1885621;1726133798412475320
37;650000;10;0;1;8000000000;1898742;1726133798422474444
38;650000;10;0;1;8000000000;1884819;1726133798432473258
39;650000;10;0;1;8000000000;1894783;1726133798442474853
40;650000;10;0;1;8000000000;1877200;1726133798452471497
41;650000;10;0;1;8000000000;1898404;1726133798462473002
42;650000;10;0;1;8000000000;1883010;1726133798472472745
43;650000;10;0;1;8000000000;1897355;1726133798482469925
44;650000;10;0;1;8000000000;1881825;1726133798492473953
45;650000;10;0;1;8000000000;1857064;1726133798502482678
46;650000;10;0;1;8000000000;1842791;1726133798512480440
47;650000;10;0;1;8000000000;1857100;1726133798522481998
48;650000;10;0;1;8000000000;1841525;1726133798532481662
49;650000;10;0;1;8000000000;1854576;1726133798542483758
