Sequence;subscriber_id;publisher_id;Data_size;publish_interval;publisher_number;subscriber_number;Latency(ns);publish_time(ns)
0;0;0;500000;10;10;1;13655513;1726088141903665630
1;0;0;500000;10;10;1;0;0
2;0;0;500000;10;10;1;8612441;1726088141924140130
3;0;0;500000;10;10;1;0;0
4;0;0;500000;10;10;1;0;0
5;0;0;500000;10;10;1;5325699;1726088141953596327
6;0;0;500000;10;10;1;1574670;1726088141963539900
7;0;0;500000;10;10;1;0;0
8;0;0;500000;10;10;1;6904995;1726088141983609717
9;0;0;500000;10;10;1;1537951;1726088141993575507
10;0;0;500000;10;10;1;2166255;1726088142003610111
11;0;0;500000;10;10;1;2131340;1726088142013575870
12;0;0;500000;10;10;1;0;0
13;0;0;500000;10;10;1;4493523;1726088142033604665
14;0;0;500000;10;10;1;0;0
15;0;0;500000;10;10;1;0;0
16;0;0;500000;10;10;1;3778540;1726088142063589529
17;0;0;500000;10;10;1;1642165;1726088142073549295
18;0;0;500000;10;10;1;3398792;1726088142083540939
19;0;0;500000;10;10;1;1727244;1726088142093557451
20;0;0;500000;10;10;1;1800754;1726088142103620699
21;0;0;500000;10;10;1;1679588;1726088142113611897
22;0;0;500000;10;10;1;0;0
23;0;0;500000;10;10;1;4226096;1726088142133614610
24;0;0;500000;10;10;1;1665569;1726088142143574383
25;0;0;500000;10;10;1;13788454;1726088142153613715
26;0;0;500000;10;10;1;5136575;1726088142163614177
27;0;0;500000;10;10;1;1671949;1726088142173547979
28;0;0;500000;10;10;1;1737655;1726088142183588408
29;0;0;500000;10;10;1;0;0
30;0;0;500000;10;10;1;0;0
31;0;0;500000;10;10;1;4289404;1726088142213574968
32;0;0;500000;10;10;1;1699157;1726088142223610757
33;0;0;500000;10;10;1;0;0
34;0;0;500000;10;10;1;2982437;1726088142243572140
35;0;0;500000;10;10;1;1690134;1726088142253616585
36;0;0;500000;10;10;1;1656899;1726088142263613670
37;0;0;500000;10;10;1;1691946;1726088142273572175
38;0;0;500000;10;10;1;1663244;1726088142283606571
39;0;0;500000;10;10;1;1696989;1726088142293572760
40;0;0;500000;10;10;1;1593531;1726088142303579636
41;0;0;500000;10;10;1;1700657;1726088142313633251
42;0;0;500000;10;10;1;12563152;1726088142323561530
43;0;0;500000;10;10;1;0;0
44;0;0;500000;10;10;1;0;0
45;0;0;500000;10;10;1;5152934;1726088142353571928
46;0;0;500000;10;10;1;1650099;1726088142363549107
47;0;0;500000;10;10;1;1754556;1726088142373558129
48;0;0;500000;10;10;1;1723888;1726088142383618012
49;0;0;500000;10;10;1;1697154;1726088142393586601
50;0;0;500000;10;10;1;1646305;1726088142403578084
51;0;0;500000;10;10;1;1817019;1726088142413592347
52;0;0;500000;10;10;1;1575538;1726088142423578578
